UBIGEO,NOM_DPTO,NOM_PROV,NOM_DIST,IDH,quintil_idh,ingreso_per_capita,esperanza_vida,anios_educacion,pct_secundaria_completa,POB_HAB,IDH_RANK
220102,SAN MARTIN,MOYOBAMBA,CALZADA,0.514788,4,1011.292918,74.708827,6.543161,51.748904,4268,443
120424,JUNIN,JAUJA,PANCAN,0.514194,4,841.060493,68.29188,8.130468,74.473923,1184,444
040311,AREQUIPA,CARAVELI,LOMAS,0.514029,4,697.806463,82.118979,9.200694,54.018851,1478,445
200605,PIURA,SULLANA,MARCAVELICA,0.51376,4,809.633988,78.786888,7.013678,63.109834,30644,446
050703,AYACUCHO,PARINACOCHAS,CORONEL CASTAÑEDA,0.513623,4,1088.172863,62.056814,9.198175,50.609551,2090,447
120705,JUNIN,TARMA,LA UNION,0.513566,4,720.397926,76.036269,7.801083,77.611858,2744,448
200502,PIURA,PAITA,AMOTAPE,0.513413,4,798.250683,80.421014,6.848579,62.975396,2286,449
120413,JUNIN,JAUJA,LEONOR ORDOÑEZ,0.51332,4,751.723402,70.286514,8.695357,78.226768,1410,450
030201,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,0.512789,4,698.043985,75.568185,8.476962,75.23807,48362,451
100301,HUANUCO,DOS DE MAYO,LA UNION,0.512274,4,880.544361,65.070157,9.083482,67.140849,6433,452
130402,LA LIBERTAD,CHEPEN,PACANGA,0.511473,4,862.418951,78.606068,6.422343,61.153108,24701,453
010307,AMAZONAS,BONGARA,JAZAN,0.511258,4,919.430505,71.692879,7.440274,57.668274,8515,454
140201,LAMBAYEQUE,FERREÑAFE,FERREÑAFE,0.511085,4,787.417958,68.871914,9.535932,65.671579,35705,455
220406,SAN MARTIN,HUALLAGA,TINGO DE SAPOSOA,0.510924,4,805.603975,79.074347,7.337577,57.464548,646,456
120420,JUNIN,JAUJA,MUQUI,0.510372,4,780.341928,73.881558,8.771793,59.32016,943,457
140103,LAMBAYEQUE,CHICLAYO,ETEN,0.510316,4,657.101484,84.332833,7.614255,69.255076,10873,458
120117,JUNIN,HUANCAYO,HUALHUAS,0.51031,4,712.461255,71.524408,9.092332,75.723888,5267,459
140119,LAMBAYEQUE,CHICLAYO,PUCALA,0.509982,4,640.403817,80.927725,8.599719,70.100388,9540,460
150704,LIMA,HUAROCHIRI,CARAMPOMA,0.509911,4,712.528642,76.163484,7.568213,78.772382,1374,461
