UBIGEO,NOM_DPTO,NOM_PROV,NOM_DIST,pct_sin_cobertura,BASE_norm,pct_escuelas_operativas,S1_raw,S1_norm,pct_establecimientos_operativos,S2_raw,S2_norm,calidad_conexion,S3_raw,S3_norm,tiene_dependencia_policial,pct_operativas,S4_raw,S4_norm,IVDC_sectorial,IVDC_v2,quintil_ivdc_v2,IDH,quintil_idh,ingreso_per_capita,esperanza_vida,anios_educacion,IDH_num
081106,CUSCO,PAUCARTAMBO,KOSÑIPATA,27.12,0.2712,100.0,0.0,0.0,100.0,0.0,0.0,2,3,0.6,1.0,100.0,0.0,0.0,0.15,0.124772,1,0.361212,3,454.303625,62.740621,5.981485,0.361212
010202,AMAZONAS,BAGUA,ARAMANGO,15.38,0.1538,0.0,100.0,1.0,0.0,100.0,1.0,2,3,0.6,1.0,0.0,100.0,1.0,0.9,0.724251,5,0.361182,3,535.806154,73.242134,4.9465,0.361182
120809,JUNIN,YAULI,SUITUCANCHA,74.36,0.7436,100.0,0.0,0.0,100.0,0.0,0.0,2,3,0.6,0.0,,100.0,1.0,0.4,0.376332,2,0.361181,3,376.918981,73.346636,7.034722,0.361181
030215,APURIMAC,ANDAHUAYLAS,SANTA MARIA DE CHICMO,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,5,0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,1,0.361028,3,408.180233,75.905536,4.428631,0.361028
050107,AYACUCHO,HUAMANGA,PACAYCASA,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,2,3,0.6,0.0,,100.0,1.0,0.4,0.307692,2,0.360971,3,454.758809,65.314531,6.061298,0.360971
021507,ANCASH,PALLASCA,LLAPO,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,2,3,0.6,0.0,,100.0,1.0,0.9,0.692308,4,0.360741,3,560.134134,67.010859,6.7041,0.360741
100403,HUANUCO,HUACAYBAMBA,COCHABAMBA,50.0,0.5,0.0,100.0,1.0,0.0,100.0,1.0,1,4,0.8,0.0,,100.0,1.0,0.95,0.840385,5,0.36072,3,487.223225,73.153979,5.490404,0.36072
080402,CUSCO,CALCA,COYA,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,5,0,0.0,0.0,,100.0,1.0,0.25,0.192308,1,0.360594,3,369.634649,71.363164,6.177703,0.360594
050404,AYACUCHO,HUANTA,IGUAIN,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,3,2,0.4,0.0,,100.0,1.0,0.35,0.269231,1,0.360496,3,421.135991,76.98716,4.691213,0.360496
200302,PIURA,HUANCABAMBA,CANCHAQUE,3.03,0.0303,0.0,100.0,1.0,0.0,100.0,1.0,5,0,0.0,0.0,,100.0,1.0,0.75,0.582167,3,0.360385,3,415.715414,67.6045,5.93967,0.360385
050302,AYACUCHO,HUANCA SANCOS,CARAPO,21.17,0.2117,100.0,0.0,0.0,100.0,0.0,0.0,1,4,0.8,0.0,,100.0,1.0,0.45,0.368138,2,0.359679,3,395.156864,69.983844,5.645666,0.359679
