UBIGEO,total_localidades_pronatel,localidades_operativas,localidades_en_ejecucion,localidades_proyectadas,pct_operativo,pob_cubierta_operativo,iiee_cubiertos,eess_cubiertos,dp_cubiertos
021704,1,0,1,0,0.0,0,0,0,0
021705,1,0,1,0,0.0,0,0,0,0
021706,1,0,1,0,0.0,0,0,0,0
021707,3,0,3,0,0.0,0,0,0,0
021708,1,0,1,0,0.0,0,0,0,0
021709,1,0,1,0,0.0,0,0,0,0
021801,16,0,16,0,0.0,0,0,0,0
021802,3,0,3,0,0.0,0,0,0,0
021804,1,0,1,0,0.0,0,0,0,0
021805,4,0,4,0,0.0,0,0,0,0
021806,3,0,3,0,0.0,0,0,0,0
021807,4,0,4,0,0.0,0,0,0,0
021808,1,0,1,0,0.0,0,0,0,0
021809,1,0,1,0,0.0,0,0,0,0
021901,3,0,3,0,0.0,0,0,0,0
021902,4,0,4,0,0.0,0,0,0,0
021903,1,0,1,0,0.0,0,0,0,0
021904,2,0,2,0,0.0,0,0,0,0
021905,1,0,1,0,0.0,0,0,0,0
021906,7,0,7,0,0.0,0,0,0,0
021907,4,0,4,0,0.0,0,0,0,0
021908,1,0,1,0,0.0,0,0,0,0
021909,5,0,5,0,0.0,0,0,0,0
021910,3,0,3,0,0.0,0,0,0,0
022001,16,0,16,0,0.0,0,0,0,0
022002,2,0,2,0,0.0,0,0,0,0
022003,5,0,5,0,0.0,0,0,0,0
022004,1,0,1,0,0.0,0,0,0,0
022005,10,0,10,0,0.0,0,0,0,0
022006,1,0,1,0,0.0,0,0,0,0
022008,9,0,9,0,0.0,0,0,0,0
030101,4,4,0,0,100.0,888,5,2,0
030102,2,2,0,0,100.0,424,1,2,0
030103,1,1,0,0,100.0,329,2,1,0
030104,7,7,0,0,100.0,1759,7,4,0
030105,1,1,0,0,100.0,357,2,1,0
030107,4,4,0,0,100.0,657,2,4,0
030108,3,3,0,0,100.0,1168,4,1,1
030109,1,1,0,0,100.0,253,1,1,0
030201,6,6,0,0,100.0,3060,9,4,0
030202,8,8,0,0,100.0,2832,11,5,0
030203,1,1,0,0,100.0,581,2,1,0
030204,7,7,0,0,100.0,1666,3,7,0
030205,6,6,0,0,100.0,1774,7,4,1
030206,1,1,0,0,100.0,525,2,1,0
030207,1,1,0,0,100.0,315,1,0,0
030208,6,6,0,0,100.0,1275,7,6,0
030209,5,5,0,0,100.0,1813,6,3,0
030210,1,1,0,0,100.0,697,1,1,1
030212,4,4,0,0,100.0,1002,6,2,1
030213,6,6,0,0,100.0,14971,10,5,0
030214,1,1,0,0,100.0,693,2,1,0
030215,8,8,0,0,100.0,3072,14,4,0
030216,7,7,0,0,100.0,2138,7,4,0
030218,4,4,0,0,100.0,655,3,4,0
030219,2,2,0,0,100.0,1265,2,2,0
030220,3,3,0,0,100.0,1218,4,1,0
030302,1,1,0,0,100.0,483,2,1,0
030303,1,1,0,0,100.0,134,0,1,0
030304,2,2,0,0,100.0,1076,3,2,0
030401,1,1,0,0,100.0,125,0,1,0
030402,3,3,0,0,100.0,531,2,3,0
030403,1,1,0,0,100.0,522,1,1,0
030404,4,4,0,0,100.0,1224,8,4,0
030405,1,1,0,0,100.0,521,1,1,0
030407,1,1,0,0,100.0,177,0,1,0
030408,2,2,0,0,100.0,273,2,2,0
030409,2,2,0,0,100.0,199,1,2,0
030410,3,3,0,0,100.0,576,1,3,0
030412,1,1,0,0,100.0,582,2,1,0
030413,2,2,0,0,100.0,298,1,2,0
030414,3,3,0,0,100.0,740,6,3,1
030415,3,3,0,0,100.0,1013,5,3,1
030417,2,2,0,0,100.0,729,2,2,0
030501,2,2,0,0,100.0,433,4,1,0
030502,2,2,0,0,100.0,570,1,1,0
030503,5,5,0,0,100.0,2867,8,3,1
030504,5,5,0,0,100.0,589,5,4,0
030505,2,2,0,0,100.0,615,2,2,0
030506,1,1,0,0,100.0,172,1,1,0
030601,4,4,0,0,100.0,1342,6,3,0
030602,1,1,0,0,100.0,61,1,1,0
030603,1,1,0,0,100.0,511,2,1,1
030604,4,4,0,0,100.0,2433,5,2,0
030605,6,6,0,0,100.0,2204,11,4,0
030606,3,3,0,0,100.0,820,4,2,0
030607,4,4,0,0,100.0,1594,7,2,1
030608,4,4,0,0,100.0,2174,8,4,0
030609,2,2,0,0,100.0,588,3,2,0
030610,2,2,0,0,100.0,1296,4,2,0
030701,2,2,0,0,100.0,256,1,2,0
030702,3,3,0,0,100.0,786,4,3,0
030703,3,3,0,0,100.0,485,1,3,0
030704,3,3,0,0,100.0,828,4,3,0
030705,1,1,0,0,100.0,574,2,1,1
030707,1,1,0,0,100.0,217,2,1,0
030709,1,1,0,0,100.0,254,2,1,0
030710,1,1,0,0,100.0,50,0,1,0
030711,1,1,0,0,100.0,622,2,1,0
030714,2,2,0,0,100.0,796,4,2,0
040106,4,0,4,0,0.0,0,0,0,0
040108,15,0,15,0,0.0,0,0,0,0
040111,2,0,2,0,0.0,0,0,0,0
040113,3,0,3,0,0.0,0,0,0,0
040114,5,0,5,0,0.0,0,0,0,0
040116,1,0,1,0,0.0,0,0,0,0
040118,1,0,1,0,0.0,0,0,0,0
040119,1,0,1,0,0.0,0,0,0,0
040120,3,0,3,0,0.0,0,0,0,0
040123,1,0,1,0,0.0,0,0,0,0
040124,1,0,1,0,0.0,0,0,0,0
040125,6,0,6,0,0.0,0,0,0,0
040127,2,0,2,0,0.0,0,0,0,0
040128,4,0,4,0,0.0,0,0,0,0
040202,3,0,3,0,0.0,0,0,0,0
040203,2,0,2,0,0.0,0,0,0,0
040204,2,0,2,0,0.0,0,0,0,0
040205,2,0,2,0,0.0,0,0,0,0
040206,5,0,5,0,0.0,0,0,0,0
040207,1,0,1,0,0.0,0,0,0,0
040208,3,0,3,0,0.0,0,0,0,0
040302,5,0,5,0,0.0,0,0,0,0
040303,1,0,1,0,0.0,0,0,0,0
040304,3,0,3,0,0.0,0,0,0,0
040305,1,0,1,0,0.0,0,0,0,0
040306,2,0,2,0,0.0,0,0,0,0
040308,4,0,4,0,0.0,0,0,0,0
040309,3,0,3,0,0.0,0,0,0,0
040310,3,0,3,0,0.0,0,0,0,0
040311,1,0,1,0,0.0,0,0,0,0
040312,3,0,3,0,0.0,0,0,0,0
040313,1,0,1,0,0.0,0,0,0,0
040401,10,0,10,0,0.0,0,0,0,0
040402,2,0,2,0,0.0,0,0,0,0
040403,1,0,1,0,0.0,0,0,0,0
040404,2,0,2,0,0.0,0,0,0,0
040405,3,0,3,0,0.0,0,0,0,0
040406,2,0,2,0,0.0,0,0,0,0
040407,1,0,1,0,0.0,0,0,0,0
040408,5,0,5,0,0.0,0,0,0,0
040409,6,0,6,0,0.0,0,0,0,0
040410,3,0,3,0,0.0,0,0,0,0
040411,3,0,3,0,0.0,0,0,0,0
040412,2,0,2,0,0.0,0,0,0,0
040413,9,0,9,0,0.0,0,0,0,0
040414,7,0,7,0,0.0,0,0,0,0
040501,1,0,1,0,0.0,0,0,0,0
040502,1,0,1,0,0.0,0,0,0,0
040503,2,0,2,0,0.0,0,0,0,0
040504,1,0,1,0,0.0,0,0,0,0
040505,1,0,1,0,0.0,0,0,0,0
040506,1,0,1,0,0.0,0,0,0,0
040507,1,0,1,0,0.0,0,0,0,0
040508,4,0,4,0,0.0,0,0,0,0
040509,1,0,1,0,0.0,0,0,0,0
040510,1,0,1,0,0.0,0,0,0,0
040511,3,0,3,0,0.0,0,0,0,0
040512,1,0,1,0,0.0,0,0,0,0
040513,1,0,1,0,0.0,0,0,0,0
040514,1,0,1,0,0.0,0,0,0,0
040515,1,0,1,0,0.0,0,0,0,0
040516,4,0,4,0,0.0,0,0,0,0
040517,1,0,1,0,0.0,0,0,0,0
040518,1,0,1,0,0.0,0,0,0,0
040519,1,0,1,0,0.0,0,0,0,0
040520,21,0,21,0,0.0,0,0,0,0
040601,5,0,5,0,0.0,0,0,0,0
040602,3,0,3,0,0.0,0,0,0,0
040603,4,0,4,0,0.0,0,0,0,0
040604,4,0,4,0,0.0,0,0,0,0
040605,3,0,3,0,0.0,0,0,0,0
040606,4,0,4,0,0.0,0,0,0,0
040607,1,0,1,0,0.0,0,0,0,0
040608,2,0,2,0,0.0,0,0,0,0
040701,2,0,2,0,0.0,0,0,0,0
040702,8,0,8,0,0.0,0,0,0,0
040703,2,0,2,0,0.0,0,0,0,0
040706,1,0,1,0,0.0,0,0,0,0
040802,1,0,1,0,0.0,0,0,0,0
040803,1,0,1,0,0.0,0,0,0,0
040804,1,0,1,0,0.0,0,0,0,0
040805,1,0,1,0,0.0,0,0,0,0
040806,5,0,5,0,0.0,0,0,0,0
040807,1,0,1,0,0.0,0,0,0,0
040808,1,0,1,0,0.0,0,0,0,0
040809,1,0,1,0,0.0,0,0,0,0
040810,1,0,1,0,0.0,0,0,0,0
040811,1,0,1,0,0.0,0,0,0,0
050101,2,2,0,0,100.0,470,2,1,0
050102,11,11,0,0,100.0,3212,10,4,0
050103,3,3,0,0,100.0,834,6,1,0
050105,7,7,0,0,100.0,2953,9,4,0
050106,5,5,0,0,100.0,1420,7,4,0
050108,4,4,0,0,100.0,985,4,2,0
050109,1,1,0,0,100.0,144,2,1,0
050111,2,2,0,0,100.0,744,2,2,0
050112,8,8,0,0,100.0,2227,11,3,0
050113,8,8,0,0,100.0,2340,5,4,0
050114,10,10,0,0,100.0,1338,15,4,0
050201,6,6,0,0,100.0,1202,6,4,0
050202,6,6,0,0,100.0,4356,9,3,0
