UBIGEO,total_escuelas_pronatel,escuelas_operativas,escuelas_no_operativas,pct_escuelas_operativas
050507,11,11,0,100.00%
050508,15,15,0,100.00%
050509,16,16,0,100.00%
050510,9,9,0,100.00%
050601,3,3,0,100.00%
050602,5,5,0,100.00%
050603,2,2,0,100.00%
050604,3,3,0,100.00%
050605,4,4,0,100.00%
050606,5,5,0,100.00%
050607,2,2,0,100.00%
050608,4,4,0,100.00%
050610,1,1,0,100.00%
050611,3,3,0,100.00%
050612,2,2,0,100.00%
050613,5,5,0,100.00%
050614,1,1,0,100.00%
050615,1,1,0,100.00%
050616,1,1,0,100.00%
050617,8,8,0,100.00%
050619,2,2,0,100.00%
050620,2,2,0,100.00%
050701,3,3,0,100.00%
050702,7,7,0,100.00%
050703,1,1,0,100.00%
050704,1,1,0,100.00%
050705,5,5,0,100.00%
050706,3,3,0,100.00%
050801,1,1,0,100.00%
050802,1,1,0,100.00%
050803,1,1,0,100.00%
050804,5,5,0,100.00%
050805,2,2,0,100.00%
050806,2,2,0,100.00%
050809,1,1,0,100.00%
050810,2,2,0,100.00%
050902,2,2,0,100.00%
050903,2,2,0,100.00%
050904,1,1,0,100.00%
050905,2,2,0,100.00%
050906,4,4,0,100.00%
050907,5,5,0,100.00%
050908,2,2,0,100.00%
050909,2,2,0,100.00%
050910,2,2,0,100.00%
050911,3,3,0,100.00%
051002,5,5,0,100.00%
051003,2,2,0,100.00%
051005,5,5,0,100.00%
051006,2,2,0,100.00%
051007,2,2,0,100.00%
051008,2,2,0,100.00%
051009,4,4,0,100.00%
051010,6,6,0,100.00%
051011,6,6,0,100.00%
051012,5,5,0,100.00%
051101,6,6,0,100.00%
051102,3,3,0,100.00%
051104,4,4,0,100.00%
051105,4,4,0,100.00%
051106,2,2,0,100.00%
051107,1,1,0,100.00%
051108,9,9,0,100.00%
060101,22,0,22,0.00%
060102,12,0,12,0.00%
060103,5,0,5,0.00%
060105,32,0,32,0.00%
060106,18,0,18,0.00%
060107,2,0,2,0.00%
060108,14,0,14,0.00%
060109,6,0,6,0.00%
060111,6,0,6,0.00%
060112,1,0,1,0.00%
060201,12,0,12,0.00%
060202,24,0,24,0.00%
060203,9,0,9,0.00%
060204,8,0,8,0.00%
060301,16,0,16,0.00%
060302,2,0,2,0.00%
060303,12,0,12,0.00%
060304,33,0,33,0.00%
060305,1,0,1,0.00%
060306,3,0,3,0.00%
060307,13,0,13,0.00%
060308,4,0,4,0.00%
060309,23,0,23,0.00%
060310,11,0,11,0.00%
060311,1,0,1,0.00%
060312,16,0,16,0.00%
060401,33,0,33,0.00%
060402,12,0,12,0.00%
060403,6,0,6,0.00%
060404,7,0,7,0.00%
060405,5,0,5,0.00%
060406,5,0,5,0.00%
060407,8,0,8,0.00%
060408,13,0,13,0.00%
060409,16,0,16,0.00%
060410,16,0,16,0.00%
060411,17,0,17,0.00%
060412,3,0,3,0.00%
060413,10,0,10,0.00%
060414,5,0,5,0.00%
060415,20,0,20,0.00%
060416,5,0,5,0.00%
060417,40,0,40,0.00%
060419,20,0,20,0.00%
060501,4,0,4,0.00%
060503,3,0,3,0.00%
060504,7,0,7,0.00%
060505,4,0,4,0.00%
060506,2,0,2,0.00%
060507,3,0,3,0.00%
060601,77,0,77,0.00%
060602,30,0,30,0.00%
060603,9,0,9,0.00%
060604,6,0,6,0.00%
060605,9,0,9,0.00%
060606,14,0,14,0.00%
060607,51,0,51,0.00%
060608,4,0,4,0.00%
060609,7,0,7,0.00%
060610,6,0,6,0.00%
060611,6,0,6,0.00%
060612,12,0,12,0.00%
060613,15,0,15,0.00%
060614,24,0,24,0.00%
060615,5,0,5,0.00%
060701,68,0,68,0.00%
060702,12,0,12,0.00%
060703,16,0,16,0.00%
060801,14,0,14,0.00%
060802,19,0,19,0.00%
060803,5,0,5,0.00%
060804,5,0,5,0.00%
060805,11,0,11,0.00%
060806,5,0,5,0.00%
060807,1,0,1,0.00%
060808,4,0,4,0.00%
060809,4,0,4,0.00%
060810,2,0,2,0.00%
060811,9,0,9,0.00%
060812,7,0,7,0.00%
060901,49,0,49,0.00%
060902,26,0,26,0.00%
060903,27,0,27,0.00%
060904,28,0,28,0.00%
060905,19,0,19,0.00%
060906,30,0,30,0.00%
060907,6,0,6,0.00%
061001,14,0,14,0.00%
061002,8,0,8,0.00%
061003,8,0,8,0.00%
