UBIGEO,total_establecimientos_salud_pronatel,establecimientos_operativos,establecimientos_no_operativos,pct_establecimientos_operativos
040514,1,0,1,0.00%
040515,1,0,1,0.00%
040516,1,0,1,0.00%
040517,1,0,1,0.00%
040518,1,0,1,0.00%
040519,1,0,1,0.00%
040520,4,0,4,0.00%
040602,1,0,1,0.00%
040603,1,0,1,0.00%
040604,2,0,2,0.00%
040605,1,0,1,0.00%
040606,2,0,2,0.00%
040607,1,0,1,0.00%
040608,1,0,1,0.00%
040701,1,0,1,0.00%
040702,3,0,3,0.00%
040703,1,0,1,0.00%
040802,1,0,1,0.00%
040803,1,0,1,0.00%
040804,1,0,1,0.00%
040805,1,0,1,0.00%
040806,1,0,1,0.00%
040807,1,0,1,0.00%
040808,1,0,1,0.00%
040809,1,0,1,0.00%
040810,1,0,1,0.00%
040811,1,0,1,0.00%
050101,1,1,0,100.00%
050102,5,5,0,100.00%
050103,2,2,0,100.00%
050105,4,4,0,100.00%
050106,5,5,0,100.00%
050107,1,1,0,100.00%
050108,2,2,0,100.00%
050109,2,2,0,100.00%
050111,4,4,0,100.00%
050112,5,5,0,100.00%
050113,4,4,0,100.00%
050114,6,6,0,100.00%
050201,5,5,0,100.00%
050202,6,6,0,100.00%
050203,3,3,0,100.00%
050204,1,1,0,100.00%
050205,1,1,0,100.00%
050206,2,2,0,100.00%
050302,2,2,0,100.00%
050303,2,2,0,100.00%
050304,3,3,0,100.00%
050401,5,5,0,100.00%
050402,4,4,0,100.00%
050403,3,3,0,100.00%
050404,1,1,0,100.00%
050405,1,1,0,100.00%
050406,3,3,0,100.00%
050407,5,5,0,100.00%
050408,9,9,0,100.00%
050409,1,1,0,100.00%
050501,2,2,0,100.00%
050502,4,4,0,100.00%
050503,2,2,0,100.00%
050504,2,2,0,100.00%
050505,2,2,0,100.00%
050506,1,1,0,100.00%
050507,5,5,0,100.00%
050508,4,4,0,100.00%
050509,2,2,0,100.00%
050510,1,1,0,100.00%
050601,2,2,0,100.00%
050602,1,1,0,100.00%
050603,2,2,0,100.00%
050604,1,1,0,100.00%
050605,1,1,0,100.00%
050606,2,2,0,100.00%
050607,1,1,0,100.00%
050608,2,2,0,100.00%
050609,1,1,0,100.00%
050610,3,3,0,100.00%
050611,2,2,0,100.00%
050612,1,1,0,100.00%
050613,2,2,0,100.00%
050614,1,1,0,100.00%
050617,2,2,0,100.00%
050618,1,1,0,100.00%
050619,1,1,0,100.00%
050620,1,1,0,100.00%
050621,1,1,0,100.00%
050701,3,3,0,100.00%
050702,4,4,0,100.00%
050703,1,1,0,100.00%
050704,1,1,0,100.00%
050705,2,2,0,100.00%
050706,3,3,0,100.00%
050708,1,1,0,100.00%
050802,1,1,0,100.00%
050803,1,1,0,100.00%
050804,2,2,0,100.00%
050805,1,1,0,100.00%
050806,1,1,0,100.00%
050807,1,1,0,100.00%
050808,1,1,0,100.00%
050809,1,1,0,100.00%
050810,1,1,0,100.00%
050901,1,1,0,100.00%
050902,1,1,0,100.00%
050903,1,1,0,100.00%
050904,1,1,0,100.00%
050905,1,1,0,100.00%
050906,2,2,0,100.00%
050907,2,2,0,100.00%
050908,1,1,0,100.00%
050909,2,2,0,100.00%
050910,3,3,0,100.00%
050911,1,1,0,100.00%
051002,3,3,0,100.00%
051003,1,1,0,100.00%
051004,3,3,0,100.00%
051005,2,2,0,100.00%
051006,1,1,0,100.00%
051007,2,2,0,100.00%
051008,1,1,0,100.00%
051009,3,3,0,100.00%
051010,2,2,0,100.00%
051011,3,3,0,100.00%
051012,2,2,0,100.00%
051101,4,4,0,100.00%
051102,3,3,0,100.00%
051104,1,1,0,100.00%
051105,2,2,0,100.00%
051106,1,1,0,100.00%
051108,6,6,0,100.00%
060101,10,0,10,0.00%
060102,2,0,2,0.00%
060103,1,0,1,0.00%
060105,8,0,8,0.00%
060106,3,0,3,0.00%
060107,2,0,2,0.00%
060108,2,0,2,0.00%
060109,2,0,2,0.00%
060111,3,0,3,0.00%
060201,2,0,2,0.00%
060202,6,0,6,0.00%
060203,3,0,3,0.00%
060204,3,0,3,0.00%
060301,1,0,1,0.00%
060302,1,0,1,0.00%
060303,4,0,4,0.00%
060304,7,0,7,0.00%
060305,1,0,1,0.00%
060306,1,0,1,0.00%
060307,3,0,3,0.00%
060308,1,0,1,0.00%
060309,7,0,7,0.00%
060310,3,0,3,0.00%
